document_id,url,file,titulo,rango,materia,no_norma,no_gaceta,fecha_publicacion,tipo_norma,candidate,total_matches,unique_terms,direct_es_matches,economic_instruments_matches,tier_1_matches,tier_2_matches,matched_terms,matched_categories,matched_subcategories,matched_tiers
BBDF63097C6240EF06257760007B6B16,http://legislacion.asamblea.nacional.gob.ni/Normaweb.nsf/xpNormaJuridica.xsp?documentId=BBDF63097C6240EF06257760007B6B16&action=openDocument,data\legislation\html\BBDF63097C6240EF06257760007B6B16.html,(OBLIGACIÓN DE OBTENER PERMISO PARA LA PEZCA DE TORTUGAS Y CUALQUIER CLASE DE TESTÁCEOS),Decretos Ejecutivos,Medio Ambiente y Recursos Naturales,,3041,16/10/1906,Decreto,False,0,0,0,0,0,0,,,,
80F8311283D4CE590625774C007C89D5,http://legislacion.asamblea.nacional.gob.ni/Normaweb.nsf/xpNormaJuridica.xsp?documentId=80F8311283D4CE590625774C007C89D5&action=openDocument,data\legislation\html\80F8311283D4CE590625774C007C89D5.html,Se Reforma y Adiciona un Decreto,Decretos Ejecutivos,Medio Ambiente y Recursos Naturales,S/N,86,25/07/1908,Decreto,False,0,0,0,0,0,0,,,,
F2CF6B8B539F1A0E062577C4005105ED,http://legislacion.asamblea.nacional.gob.ni/Normaweb.nsf/xpNormaJuridica.xsp?documentId=F2CF6B8B539F1A0E062577C4005105ED&action=openDocument,data\legislation\html\F2CF6B8B539F1A0E062577C4005105ED.html,"Se Deroga una Ley del 18 de Julio de 1908, Relativa a la Exportación de los Árboles de Hules",Decretos Ejecutivos,Medio Ambiente y Recursos Naturales,S/N,134,17/11/1908,Decreto,False,0,0,0,0,0,0,,,,
9649368B442C4CC106257720007B1B1F,http://legislacion.asamblea.nacional.gob.ni/Normaweb.nsf/xpNormaJuridica.xsp?documentId=9649368B442C4CC106257720007B1B1F&action=openDocument,data\legislation\html\9649368B442C4CC106257720007B1B1F.html,(Se Establece la Forma de Explotación de los Bosques Nacionales),Decretos Ejecutivos,Medio Ambiente y Recursos Naturales,S/N,109,15/05/1912,Decreto,False,0,0,0,0,0,0,,,,
4F758CBEEF7F321B0625775900545E95,http://legislacion.asamblea.nacional.gob.ni/Normaweb.nsf/xpNormaJuridica.xsp?documentId=4F758CBEEF7F321B0625775900545E95&action=openDocument,data\legislation\html\4F758CBEEF7F321B0625775900545E95.html,(Reglamento del Decreto donde se Concede la Libre Explotación de los Bosques Nacionales del Departamento de Bluefields y Comarcas y Distrito de la Costa Atlántica),Decretos Ejecutivos,Medio Ambiente y Recursos Naturales,S/N,145,28/06/1913,Decreto,False,0,0,0,0,0,0,,,,
CCAA9F462292BD9106257416007B32BE,http://legislacion.asamblea.nacional.gob.ni/Normaweb.nsf/xpNormaJuridica.xsp?documentId=CCAA9F462292BD9106257416007B32BE&action=openDocument,data\legislation\html\CCAA9F462292BD9106257416007B32BE.html,LEY AGRARIA,Decretos Legislativos,Medio Ambiente y Recursos Naturales,,65,30/03/1917,Decreto,False,0,0,0,0,0,0,,,,
0F936435EA00FBF6062577B4005551F7,http://legislacion.asamblea.nacional.gob.ni/Normaweb.nsf/xpNormaJuridica.xsp?documentId=0F936435EA00FBF6062577B4005551F7&action=openDocument,data\legislation\html\0F936435EA00FBF6062577B4005551F7.html,"Decreto del 21 de Marzo, Promulgado el 22, sobre Impuestos a la Exportación de Maderas",Decretos Ejecutivos,Medio Ambiente y Recursos Naturales,S/N,66,31/03/1917,Decreto,False,0,0,0,0,0,0,,,,
BB982D985FF6A6EA06257402007B78BB,http://legislacion.asamblea.nacional.gob.ni/Normaweb.nsf/xpNormaJuridica.xsp?documentId=BB982D985FF6A6EA06257402007B78BB&action=openDocument,data\legislation\html\BB982D985FF6A6EA06257402007B78BB.html,(DECRETO SOBRE EL DESTACE DE GANADO),Decretos Legislativos,Medio Ambiente y Recursos Naturales,,122,07/06/1917,Decreto,False,0,0,0,0,0,0,,,,
BF59FCE5A725BA9406257BC1005B5A87,http://legislacion.asamblea.nacional.gob.ni/Normaweb.nsf/xpNormaJuridica.xsp?documentId=BF59FCE5A725BA9406257BC1005B5A87&action=openDocument,data\legislation\html\BF59FCE5A725BA9406257BC1005B5A87.html,Decreto del 28 de julio: Se Prohíbe con Restricciones el uso de Lámparas Reflector para la Caza y se Establece un Impuesto sobre las Misma,Decretos Ejecutivos,Medio Ambiente y Recursos Naturales,S/N,170,02/08/1917,Decreto,False,0,0,0,0,0,0,,,,
72B174AB86B2B2080625741A005DDBCB,http://legislacion.asamblea.nacional.gob.ni/Normaweb.nsf/xpNormaJuridica.xsp?documentId=72B174AB86B2B2080625741A005DDBCB&action=openDocument,data\legislation\html\72B174AB86B2B2080625741A005DDBCB.html,Reglamento de la Ley Forestal,Decretos Ejecutivos,Medio Ambiente y Recursos Naturales,S/N,194,30/08/1917,Decreto,False,0,0,0,0,0,0,,,,
4F160ED4B538A23D06258AE7006DF263,http://legislacion.asamblea.nacional.gob.ni/Normaweb.nsf/xpNormaJuridica.xsp?documentId=4F160ED4B538A23D06258AE7006DF263&action=openDocument,data\legislation\html\4F160ED4B538A23D06258AE7006DF263.html,Decreto del 5 de Octubre Sobre la Clasificación de Algunas Maderas no Incluidas en el Decreto Legislativo del 22 de Marzo de 1917,Decretos Ejecutivos,Medio Ambiente y Recursos Naturales,S/N,229,11/10/1917,Decreto,False,0,0,0,0,0,0,,,,
44F88377DCAD9EDF062573D0005C58BD,http://legislacion.asamblea.nacional.gob.ni/Normaweb.nsf/xpNormaJuridica.xsp?documentId=44F88377DCAD9EDF062573D0005C58BD&action=openDocument,data\legislation\html\44F88377DCAD9EDF062573D0005C58BD.html,Decreto del 21 de Enero Sobre Permisos para Cortar Maderas en Terrenos Nacionales o Municipales,Decretos Ejecutivos,Medio Ambiente y Recursos Naturales,S/N,22,26/01/1918,Decreto,False,0,0,0,0,0,0,,,,
3D62B31FADAA49FE0625775A00549510,http://legislacion.asamblea.nacional.gob.ni/Normaweb.nsf/xpNormaJuridica.xsp?documentId=3D62B31FADAA49FE0625775A00549510&action=openDocument,data\legislation\html\3D62B31FADAA49FE0625775A00549510.html,(Decreto de 20 de Febrero Sobre: las Corrientes y Caídas de Aguas Naturales),Decretos Legislativos,Medio Ambiente y Recursos Naturales,44,60,15/03/1919,Decreto,False,0,0,0,0,0,0,,,,
